iter	Passed	Remaining
0	1	148
1	2	105
2	2	91
3	3	80
4	4	76
5	4	73
6	5	70
7	5	68
8	6	67
9	7	65
10	7	64
11	8	62
12	9	61
13	9	60
14	10	59
15	11	57
16	11	56
17	12	56
18	12	55
19	13	54
20	14	53
21	14	52
22	15	51
23	16	50
24	16	50
25	17	49
26	17	48
27	18	47
28	19	47
29	19	46
30	20	45
31	21	44
32	21	44
33	22	43
34	23	42
35	23	42
36	24	41
37	24	40
38	25	39
39	26	39
40	26	38
41	27	37
42	27	36
43	28	35
44	28	35
45	29	34
46	29	33
47	30	33
48	31	32
49	31	31
50	32	31
51	33	30
52	33	29
53	34	29
54	34	28
55	35	27
56	35	27
57	36	26
58	37	25
59	37	25
60	38	24
61	38	23
62	39	23
63	40	22
64	40	21
65	41	21
66	42	20
67	42	20
68	43	19
69	43	18
70	44	18
71	45	17
72	45	16
73	46	16
74	46	15
75	47	15
76	48	14
77	48	13
78	49	13
79	50	12
80	50	11
81	51	11
82	51	10
83	52	9
84	53	9
85	53	8
86	54	8
87	54	7
88	55	6
89	56	6
90	56	5
91	57	4
92	57	4
93	58	3
94	59	3
95	59	2
96	60	1
97	60	1
98	61	0
99	62	0
